                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.9484,                 4.1689,                 3.6659,                 3.9361,                0.02038,                0.09766,                0.01062,                 0.0028,                0.01659,                0.12879,                0.00964,                0.00226,                 3.2226,                 11.735,                 4.1197,                 4.4111,              0.0015614,              0.0015614,              0.0015614
                     35,                 2.9187,                 4.0398,                 3.5878,                 3.8998,                0.08153,                0.11544,                0.03463,                0.00916,                0.04773,                0.13338,                0.02349,                0.00592,                 2.8552,                 11.092,                 3.6025,                 3.9256,              0.0015581,              0.0015581,              0.0015581
                     36,                 2.9375,                 3.8366,                  3.497,                  3.861,                0.08153,                0.11544,                0.03463,                0.00916,                0.04773,                0.13338,                0.02349,                0.00592,                 2.8552,                 11.092,                 3.6025,                 3.9256,              0.0015548,              0.0015548,              0.0015548
                     37,                 2.7622,                 3.8327,                 3.5277,                 3.8589,                0.08153,                0.11544,                0.03463,                0.00916,                0.04773,                0.13338,                0.02349,                0.00592,                 2.8552,                 11.092,                 3.6025,                 3.9256,              0.0015515,              0.0015515,              0.0015515
                     38,                 2.6824,                 4.1577,                 3.5216,                 3.8383,                0.21331,                0.21599,                0.11276,                0.03682,                0.16984,                0.16909,                0.08094,                0.02204,                 2.6273,                 6.8941,                 3.5185,                 3.7371,              0.0015482,              0.0015482,              0.0015482
                     39,                 2.8697,                 4.0292,                 3.5564,                 3.7665,                0.21331,                0.21599,                0.11276,                0.03682,                0.16984,                0.16909,                0.08094,                0.02204,                 2.6273,                 6.8941,                 3.5185,                 3.7371,              0.0015449,              0.0015449,              0.0015449
                     40,                 2.8361,                 3.9021,                 3.5556,                 3.8263,                0.21331,                0.21599,                0.11276,                0.03682,                0.16984,                0.16909,                0.08094,                0.02204,                 2.6273,                 6.8941,                 3.5185,                 3.7371,              0.0015416,              0.0015416,              0.0015416
                     41,                 2.8272,                  3.693,                 3.6092,                 3.8024,                0.28229,                0.11094,                0.10852,                0.03617,                0.20805,                0.08596,                0.08069,                0.02425,                 2.4384,                 4.2957,                 3.4018,                 3.6651,              0.0015383,              0.0015383,              0.0015383
                     42,                 2.8237,                 3.7637,                 3.6472,                 3.7711,                0.28229,                0.11094,                0.10852,                0.03617,                0.20805,                0.08596,                0.08069,                0.02425,                 2.4384,                 4.2957,                 3.4018,                 3.6651,               0.001535,               0.001535,               0.001535
                     43,                  2.863,                 3.7055,                 3.4868,                 3.8102,                0.28229,                0.11094,                0.10852,                0.03617,                0.20805,                0.08596,                0.08069,                0.02425,                 2.4384,                 4.2957,                 3.4018,                 3.6651,              0.0015317,              0.0015317,              0.0015317
                     44,                  2.665,                   3.85,                 3.8413,                  3.709,                0.07342,                0.26248,                0.05266,                0.01728,                0.07342,                0.26248,                0.05469,                0.01601,                  2.416,                   3.83,                 3.5505,                  3.619,              0.0015284,              0.0015284,              0.0015284
                     45,                 2.6882,                 3.6935,                 3.3505,                 3.6676,                0.07342,                0.26248,                0.05266,                0.01728,                0.07342,                0.26248,                0.05469,                0.01601,                  2.416,                   3.83,                 3.5505,                  3.619,              0.0015251,              0.0015251,              0.0015251
                     46,                 2.9628,                 3.5038,                 3.5342,                  3.739,                0.07342,                0.26248,                0.05266,                0.01728,                0.07342,                0.26248,                0.05469,                0.01601,                  2.416,                   3.83,                 3.5505,                  3.619,              0.0015218,              0.0015218,              0.0015218
                     47,                 2.7137,                  3.588,                 3.4186,                  3.708,                0.05006,                0.54196,                 0.0568,                 0.0164,                0.06529,                0.43987,                0.05726,                0.01841,                 2.5693,                 5.5462,                 3.5477,                 3.8187,              0.0015185,              0.0015185,              0.0015185
                     48,                 2.5947,                 3.3013,                 3.4538,                 3.6119,                0.05006,                0.54196,                 0.0568,                 0.0164,                0.06529,                0.43987,                0.05726,                0.01841,                 2.5693,                 5.5462,                 3.5477,                 3.8187,              0.0015152,              0.0015152,              0.0015152
                     49,                 2.8026,                  3.599,                 3.5706,                 3.7274,                0.05006,                0.54196,                 0.0568,                 0.0164,                0.06529,                0.43987,                0.05726,                0.01841,                 2.5693,                 5.5462,                 3.5477,                 3.8187,              0.0015119,              0.0015119,              0.0015119
